Qty,Value,Parts,Description,MFG,MPN,PN-DK
1,VSK-S5,U1,CONV AC/DC 5W 9V 0.55A PCB,CUI Inc.,VSK-S5-9UA,102-2387-ND
1,MAX31856,U2,IC CONV THERMOCOUPLE 14TSSOP,Maxim Integrated,MAX31856MUD+,MAX31856MUD+-ND
1,LTV-354T,U3,OPTOISOLATOR 3.75KV TRANS 4-SOP,Lite-On Inc.,LTV-354T,160-1333-1-ND
1,FODM3053,U4,OPTOISOLATOR 3.75KV TRIAC 4SMD,Fairchild/ON Semiconductor,FODM3053R2_NF098,FODM3053R2_NF098CT-ND
1,T25,U5,TRIAC ALTERNISTOR 800V 25A D2PAK,STMicroelectronics,T2535-800G-TR,497-10581-1-ND
1,250V/1A,F1,FUSE BRD MNT 1A 125VAC/VDC 2SMD,Littelfuse Inc.,0454001.MR,F3144CT-ND
1,100,R3,RES SMD 100 OHM 1% 1/8W 0805,Yageo,RC0805FR-07100RL,311-100CRDKR-ND
1,1k,R4,RES SMD 1K OHM 1% 1/4W 1206,Yageo,RC1206FR-071KL,311-1.00KFRDKR-ND
2,47k,"R1, R2",RES SMD 47K OHM 1% 1/4W 1206,Yageo,RC1206FR-0747KL,311-47.0KFRDKR-ND
2,10n,"C6, C7",CAP CER 10000PF 50V X7R 0805,KEMET,C0805C103K5RACTU,399-1158-1-ND
3,100n,"C3, C4, C5",CAP CER 0.1UF 50V X7R 0805,KEMET,C0805C104K5RACTU,399-1170-1-ND
1,1u,C2,CAP CER 1UF 50V X7R 0805,Taiyo Yuden,UMK212B7105KG-T,587-2910-1-ND
1,220u,C1,CAP ALUM 220UF 20% 50V SMD,Panasonic,EEE-FK1H221P,PCE3812CT-ND
1,6x1M-H8.5,AIO,6POS SIL VERTICAL PIN HEADER,Harwin Inc.,M20-9990646,952-2270-ND
2,8x1M-H8.5,"DIO-L, POWER",8POS SIL VERTICAL PIN HEADER,Harwin Inc.,M20-9990846,952-2271-ND
1,10x1M-H8.5,DIO-H,10POS SIL VERTICAL PIN HEADER,Harwin Inc.,M20-9991046,952-1843-ND
4,JMP-1-QUICK,"AC/L, AC/N, HTR/L, HTR/N",CONN QC TAB 0.250 SOLDER,Keystone Electronics,1287,36-1287-ND
2,M022.54MM_SCREWTERM,"JP1, JP3",TERM BLOCK 2POS SIDE ENT 2.54MM,TE Connectivity AMP Connectors,282834-2,A98333-ND
