Qty,Value,Parts,MFG,MPN,PN-DK,Description
1,AC/DC-CONV-ECE05US12,U1,XP Power,ECE05US12,1470-1110-ND,AC/DC CONVERTER 12V 5W
1,MAX31856,U2,Maxim Integrated,MAX31856MUD+,MAX31856MUD+-ND,IC CONV THERMOCOUPLE 14TSSOP
1,LTV-354T,U3,Lite-On Inc.,LTV-354T,160-1333-1-ND,OPTOISOLATOR 3.75KV TRANS 4-SOP
1,SSR-PF240D25R,U4,Crydom Co.,PF240D25R,CC1607-ND,RELAY SSR DC 25A 240VAC PCB
1,250V/1A,F1,Littelfuse Inc.,0454001.MR,F3144CT-ND,FUSE BRD MNT 1A 125VAC/VDC 2SMD
1,100,R4,Yageo,RC0805FR-07100RL,311-100CRCT-ND,RES SMD 100 OHM 1% 1/8W 0805
3,390,"R5, R6, R7",Yageo,RC0805FR-07390RL,311-390CRCT-ND,RES SMD 390 OHM 1% 1/8W 0805
1,10k,R3,Yageo,RC0805FR-0710KL,311-10.0KCRCT-ND,RES SMD 10K OHM 1% 1/8W 0805
2,47k,"R1, R2",Yageo,RC1206FR-0747KL, 311-47.0KFRCT-ND,RES SMD 47K OHM 1% 1/4W 1206
2,10n,"C6, C7",KEMET,C0805C103K5RACTU,399-1158-1-ND,CAP CER 10000PF 50V X7R 0805
3,100n,"C3, C4, C5",KEMET,C0805C104K5RACTU,399-1170-1-ND,CAP CER 0.1UF 50V X7R 0805
1,1u,C2,Taiyo Yuden,UMK212B7105KG-T,587-2910-1-ND,CAP CER 1UF 50V X7R 0805
1,220u,C1,Panasonic,EEE-FK1H221P,PCE3812CT-ND,CAP ALUM 220UF 20% 50V SMD
1,,"LED1, LED2, LED3",Lumex Opto/Components Inc.,SML-LXT0805IW-TR,67-1552-1-ND,LED RED DIFFUSED 0805 SMD
1,,T1,Infineon Technologies,IRLML6344TRPBF,IRLML6344TRPBFCT-ND,MOSFET N-CH 30V 5A SOT23
3,M025MM,"JP1, JP2, JP3",Phoenix Contact,1729128,277-1247-ND,CONN TERM BLOCK 2POS 5.08MM PCB
4,JMP-1-QUICK,"AC/L, AC/N, HTR/L, HTR/N",Keystone Electronics,1287,36-1287-ND,CONN QC TAB 0.250 SOLDER
1,6x1F-H8.5,AIO,Harwin Inc.,M20-9990646,952-2270-ND,6POS SIL VERTICAL PIN HEADER
2,8x1F-H8.5,"DIO-L, POWER",Harwin Inc.,M20-9990846,952-2271-ND,8POS SIL VERTICAL PIN HEADER
1,10x1F-H8.5,DIO-H,Harwin Inc.,M20-9991046,952-1843-ND,10POS SIL VERTICAL PIN HEADER
